,id,text,withheld,created_at
54,1517353707670843393,"RT @wef: In 2014, Lithuania imports all of its gas from Russia. Now, it imports none. 

Learn more about importing gas: https://t.co/8r6eBe…",,2022-04-22
55,1517353634903650304,"RT @YugBamBaby: 🇩🇪Annalena Baerbock รัฐมนตรีกระทรวงต่างประเทศเยอรมนีแถลงว่า 

🚩เยอรมนีจะยุติการนำเข้าน้ำมันจากรัสเซียภายในสิ้นปีนี้ และจะยุ…",,2022-04-22
56,1517353601961705473,RT @tanjamaier17: I spent nearly two years working on a Lukoil share offering for the Russian government 20+ years ago. The same CEO was in…,,2022-04-22
57,1517353585637429248,"@folly61397914 @zZpyz2qIitDS5gS @OKB1917 Oil and gold have recently skyrocketed because of the Russia-Ukraine war, while real estate, stocks and cryptocurrencies, which are stable investments, are plummeting.",,2022-04-22
58,1517353570911326209,"RT @philrosenn: 10/ It's no secret that China has advocated for its own economic dominance, and the yuan has a role to play in its efforts.…",,2022-04-22
59,1517353525621280772,RT @philrosenn: 9/ China has long pushed for the yuan to supplant the dollar as the go-to reserve currency. The weaponization of the US cur…,,2022-04-22
60,1517353481044119553,"RT @LisaYasko: Thank you, 🇦🇹 Austria for STOPPING the import and refining of oil from Russia!

This will help to stop the financing of the…",,2022-04-22
61,1517353278903754752,"RT @RBReich: It’s time to cut off oil and gas from Russia.

But we *must* do it equitably so the poor don’t get shafted by even higher gas…",,2022-04-22
62,1517353218807902209,"RT @RT_com: ExxonMobil may completely withdraw from the country this summer, Reuters reports

https://t.co/aZ5oXg0yfN https://t.co/7WsP35Z9…","{'copyright': False, 'country_codes': ['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GR', 'HR', 'HU', 'IE', 'IT', 'LT', 'LU', 'LV', 'MT', 'NL', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']}",2022-04-22
63,1517353186545311744,@TheDemocrats 3% of our oil comes from Russia. 2 years ago we were energy independent. This is on Biden and you can’t spin it. Terrible policies equal terrible results.,,2022-04-22
64,1517353058597974017,A growing amount of Russian oil is being sent 'destination unknown' as wary buyers try to avoid affiliation with the sanctioned nation https://t.co/MrLZnYBbyM via @mktsinsider,,2022-04-22
65,1517352955556634634,RT @PeterZeihan: Using satellite photos to look at flaring to guesstimate Russian oil production. That's pretty brilliant.  https://t.co/J0…,,2022-04-22
66,1517352945091809280,"RT @BrianLo70407608: @igorsushko Russia gets its money from oil and gas which, couldn't be bought if they weren't shippable and refinable.…",,2022-04-22
67,1517352681119141889,"India's state refiners did not submit bids in tenders issued by Russia's top oil producer Rosneft as the terms were ""one-sided"", two sources familiar with the matter said on Thursday. https://t.co/0iPHXZXZym",,2022-04-22
68,1517352574923464705,"RT @AzizSapphire: مخاوف انقطاعات إمدادية من روسيا و ليبيا تستمر بدفع أسعار النفط الخام الى الأعلى 

Oil edges higher on concerns over Russi…",,2022-04-22
69,1517352562818793473,@Arwenstar Because the EU has a deal in the works to put an embargo on Russia oil and Le Pen might not agree with the idea. Some project oil upwards of $180/barrel when they do this. The world economy cannot operate with oil prices that high. Get ready.,,2022-04-22
70,1517352553121345536,"RT @BrianLo70407608: @igorsushko Russia gets its money from oil and gas which, couldn't be bought if they weren't shippable and refinable.…",,2022-04-22
71,1517352525149708290,RT @Gerashchenko_en: 5. The concept of Russian greatness and messianism (rashism) is based on their structure of oppressive machine and pro…,,2022-04-22
72,1517352479314173954,RT @ushukrik: An opaque market is forming to obscure the origin of #Russia's #oil as more shipping tankers are loaded without a precise des…,,2022-04-22
73,1517352427506208768,"Reject Russia from civilized discourse with other countries on Earth.

Don't buy their oil and gas.

Bye bye. https://t.co/zhzTVAoSAf",,2022-04-22
74,1517352195498328064,"RT @nexta_tv: ExxonMobil, one of the world's largest oil companies, is considering leaving #Russia completely by June 24 - Reuters. https:/…",,2022-04-22
75,1517352003915198464,"@jensen_tyrel @sabrshukar @CNN @CedricLeighton Trump wanted out of NATO because he had a weird obsession with being a ""strongman"" and considered Putin an example of that. 

He has an inferiority complex. 

Also, even Trump said his biggest issue with NATO was them purchasing oil from Russia. He called them on this on camera.",,2022-04-22
76,1517351974995259392,"RT @jameslavish: So let’s recap the situation:

The Fed prints USD to oblivion

US Gov’t seizes foreign USD assets, signaling it’s no longe…",,2022-04-22
77,1517351908327014400,"fearing it would be seen as funding the government that has been accused of war crimes. But now, six weeks since Russia first invaded Ukraine, Russia’s cheap oil is proving to be too alluring for Europe oil trader #blockchain https://t.co/zlSDyBHwCS",,2022-04-22
78,1517351896499040256,"RT @Royadortolouee: Why the masked quadrupled jabbed brainwashed democrats explain me the prices are up because of Ukraine war?
You remembe…",,2022-04-22
79,1517351582668447745,RT @andersostlund: As late as yesterday @Bundeskanzler held a press conference where he basically confirmed the non-action policy with rega…,,2022-04-22
80,1517351412807901185,"RT @kyalo_mulinge: The collapse of the Soviet Union in the 1990s, left the West the winner's intelligence circles on slumber mood, while Ru…",,2022-04-22
81,1517351205361623041,"@BorisJohnson @narendramodi Hypocrisy of US!  Ramped up oil imports from Russia by 43% in past weeks but tries to put pressure on India now
  @WhiteHouse @POTUS Fake War.....And Real War 

  https://t.co/xPQJcJonDN https://t.co/av6mjJfkix",,2022-04-22
82,1517350959508250626,"""The lights are dimming over the Russian oil industry – literally.

The Kremlin is doing its best to conceal the full impact of formal and informal energy sanctions after its invasion of Ukraine. But Moscow can’t hide from the satellites..."" https://t.co/NA26F4fx6L",,2022-04-22
83,1517350898422681600,RT @usui1965: ベアボック、ドイツは夏までにロシア原油輸入を半分に、今年いっぱいでゼロに。そのあと、EUがのロードマップに従って、ガスも減らしていく、EUが全体でロシアからのガス輸入を完全に止めること、それが我々の共通の強さにつながると。ドイツは批判も浴びてるが着実…,,2022-04-22
84,1517350854122221568,EXPLAINER: What's the impact if Europe cuts off Russian oil? | AP News https://t.co/4svpVkab8S,,2022-04-22
85,1517350731845615622,"RT @ZSchneeweiss: EU asks citizens to turn down heating, lower car speeds to cut Russia energy dependence https://t.co/lXMl9ONf3S https://t…",,2022-04-22
86,1517350576337862656,@Dihorse37 @TOIIndiaNews India was already buying oil from Russia,,2022-04-22
87,1517350559422025733,"RT @nexta_tv: ExxonMobil, one of the world's largest oil companies, is considering leaving #Russia completely by June 24 - Reuters. https:/…",,2022-04-22
88,1517350439708151808,RT @AareKurunmi: Eastern Ukraine and the Crimean peninsula is the richest area of Ukraine in terms of mineral resources. From Uranium to co…,,2022-04-22
89,1517350383101923328,"@biannagolodryga ""India relies on Russian-made weapons, Israel needs Russia’s cooperation to strike inside Syria and Gulf Arab states look to Russia to help manage the oil market.""
https://t.co/GFwXsMC052",,2022-04-22
90,1517350361270341633,"RT @loganemitchell: And, for the record, oil &amp; gas production in the Uinta Basin is one of the leakiest in the world, probably worse than l…",,2022-04-22
91,1517350258237263873,"RT @JavierBlas: COLUMN: After 8 weeks of war, Russian oil production is finally succumbing to the impact of Western sanctions and self-sanc…",,2022-04-22
92,1517350146165596160,"RT @Royadortolouee: Why the masked quadrupled jabbed brainwashed democrats explain me the prices are up because of Ukraine war?
You remembe…",,2022-04-22
93,1517349986706595840,RT @CounterpointDC: Instead of accepting that his disastrous policies doubled Russia's crude oil imports and lifted Trump-era sanctions on…,,2022-04-22
94,1517349981736378368,RT @christinayiotis: “only plausible path .. pressure on #Russia while not crippling the global economy .. get oil prices down .. only sust…,,2022-04-22
95,1517349977991036930,RT @usui1965: ベアボック、ドイツは夏までにロシア原油輸入を半分に、今年いっぱいでゼロに。そのあと、EUがのロードマップに従って、ガスも減らしていく、EUが全体でロシアからのガス輸入を完全に止めること、それが我々の共通の強さにつながると。ドイツは批判も浴びてるが着実…,,2022-04-22
96,1517349930142248963,"Russia Offers Oil in a Rush, Hinting at Longer-Term Trade Impact https://t.co/PwTkBmYQ8k",,2022-04-22
97,1517349906851106817,"RT @RupakChatto: The West Is Still Buying Russian Oil, but It’s Now Harder to Track

An opaque market is forming to obscure the origin of R…",,2022-04-22
98,1517349681923334144,RT @rajkumar_ramdas: @JoeBiden After the end of war Ukraine and its public will face the real problem. And Russia will continue shinning re…,,2022-04-22
99,1517349659995369472,RT @YorukIsik: Putin ally Alekperov resigns as president of Russia’s Lukoil https://t.co/c1lYtxJfNJ,,2022-04-22
